ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
1093,2,1,0,1,1,12,1,1,14,17,14,25,6,1,,,,,,,1,,,,,,2,,,,,,,,0,0,1,0,0,1,0,,2
1184,8,1,0,1,1,12,1,1,15,17,15,30,7,1,5,4,1,1,2,1,1,5,1,1,,1,1,4,,,,4,1,1,0,0,3,1,1,1,1,1,1
1499,2,1,0,1,1,5,1,1,15,18,15,25,5,1,4,4,2,2,3,1,1,3,1,1,,1,1,4,,,,5,1,2,0,0,1,0,0,1,1,1,1
2028,3,0,0,1,1,9,1,0,13,19,13,20,5,1,,,,,,,1,,,,,,1,4,,,,6,1,2,0,0,1,0,0,5,1,,1
2185,2,1,0,1,1,5,1,1,14,17,14,39,5,1,,,,,,,1,,,,,,1,1,1,1,0,,,1,0,0,1,0,0,1,1,2,3
2430,2,1,0,1,1,0,1,1,11,15,11,20,4,1,,,,,,,1,,,,,,1,4,,,,4,0,2,0,0,3,1,0,1,0,,1
3203,2,1,0,1,1,5,1,1,15,18,15,40,7,1,4,4,1,1,3,1,1,4,1,1,,1,1,0,,,,,,2,0,0,1,0,0,1,0,1,3
3417,2,1,0,1,1,1,1,1,16,17,17,40,8,1,4,3,3,1,3,1,1,3,1,1,,1,1,4,,,,5,1,1,0,0,1,1,0,1,1,2,1
3422,2,1,0,1,1,5,1,1,16,17,17,50,8,1,5,5,3,3,3,1,1,2,1,1,,1,1,4,,,,5,0,2,0,0,1,1,0,1,0,2,2
3429,2,1,0,1,1,11,1,1,14,17,14,27,3,1,6,6,2,1,3,1,1,4,1,1,,1,1,1,1,0,1,,,2,0,0,1,0,0,1,1,1,2
