Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,9000.0,179,179,179
1,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,8100.000000000001,179,179,179
2,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,7290.000000000001,179,179,179
3,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,6561.0,179,179,179
4,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,5904.900000000001,179,179,179
5,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,5314.410000000001,179,179,179
6,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,4782.969000000001,179,179,179
7,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,4304.672100000001,179,179,179
8,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,3874.204890000001,179,179,179
9,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,3486.784401000001,179,179,179
10,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,3138.105960900001,179,179,179
